Date,Category,CPI,YoY_Change,RollingAvg_3,RollingAvg_6
2021-01-01,Food,271.96,,,
2021-03-01,Food,271.408,,,
2021-05-01,Food,272.558,,271.9753333333333,
2021-07-01,Food,276.611,,273.52566666666667,
2021-09-01,Food,281.734,,276.9676666666667,
2021-11-01,Food,284.238,,280.86100000000005,276.41816666666665
2022-01-01,Food,290.255,,285.40899999999993,279.46733333333333
2022-03-01,Food,290.945,,288.47933333333333,282.7235
2022-05-01,Food,295.51,,292.2366666666667,286.54883333333333
2022-07-01,Food,301.239,,295.89799999999997,290.65349999999995
2022-09-01,Food,299.309,,298.686,293.5826666666667
2022-11-01,Food,304.207,,301.585,296.9108333333333
2023-01-01,Food,309.141,13.671495808207101,304.21900000000005,300.05850000000004
2023-03-01,Food,307.783,13.402331545127621,307.0436666666667,302.8648333333333
2023-05-01,Food,308.473,13.177011865364442,308.46566666666666,305.0253333333333
2023-07-01,Food,307.701,11.239610861462502,307.9856666666667,306.1023333333333
2023-09-01,Food,311.741,10.650826666288072,309.305,308.1743333333333
2023-11-01,Food,312.634,9.990219463970341,310.692,309.5788333333333
2024-01-01,Food,315.228,8.603813887788325,313.201,310.5933333333333
2024-03-01,Food,315.426,8.414305109213082,314.4293333333333,311.86716666666666
2024-05-01,Food,316.605,7.138506311123161,315.753,313.2225
2024-07-01,Food,321.24,6.639578540627222,317.757,315.47900000000004
2024-09-01,Food,321.071,7.270746953816953,319.63866666666667,317.03400000000005
2024-11-01,Food,321.368,5.641224560907543,321.22633333333334,318.48966666666666
2025-01-01,Food,321.023,3.8435535888154515,321.154,319.45550000000003
2025-03-01,Food,323.351,5.058109122336196,321.914,320.77633333333335
2025-05-01,Food,324.837,5.3048402939641415,323.07033333333334,322.1483333333333
2021-01-01,Energy,202.311,,,
2021-02-01,Energy,206.977,,,
2021-03-01,Energy,223.13,,210.806,
2021-04-01,Energy,227.141,,219.08266666666665,
2021-05-01,Energy,232.988,,227.75300000000001,
2021-06-01,Energy,242.815,,234.31466666666665,222.56033333333335
2021-07-01,Energy,246.669,,240.82399999999998,229.95333333333335
2021-08-01,Energy,246.143,,245.20899999999997,236.481
2021-09-01,Energy,242.173,,244.995,239.6548333333333
2021-10-01,Energy,254.446,,247.5873333333333,244.20566666666664
2021-11-01,Energy,255.017,,250.54533333333333,247.87716666666665
2021-12-01,Energy,249.781,,253.0813333333333,249.03816666666663
2022-01-01,Energy,252.248,24.683284645916427,252.34866666666667,249.968
2022-02-01,Energy,260.086,25.659372780550505,254.03833333333333,252.29183333333333
2022-03-01,Energy,285.059,27.754672164209214,265.79766666666666,259.4395
2022-04-01,Energy,287.285,26.478707058611196,277.4766666666667,264.91266666666667
2022-05-01,Energy,307.641,32.04156437241403,293.3283333333334,273.68333333333334
2022-06-01,Energy,332.89,37.09614315425323,309.272,287.5348333333333
2022-07-01,Energy,324.21,31.435243180132066,321.58033333333333,299.5285
2022-08-01,Energy,301.242,22.384955087083537,319.4473333333333,306.3878333333334
2022-09-01,Energy,291.799,20.491962357488227,305.75033333333334,307.51116666666667
2022-10-01,Energy,295.07,15.965666585444449,296.037,308.8086666666667
2022-11-01,Energy,283.575,11.198469121666399,290.14799999999997,304.79766666666666
2022-12-01,Energy,271.61,8.73925558789499,283.4183333333333,294.58433333333335
2023-01-01,Energy,276.052,9.436744790840779,277.079,286.558
2023-02-01,Energy,275.718,6.010319663495922,274.46,282.304
2023-03-01,Energy,265.876,-6.729484071718506,272.54866666666663,277.9835
2023-04-01,Energy,275.916,-3.957394225246713,272.50333333333333,274.79116666666664
2023-05-01,Energy,274.672,-10.716712011727958,272.1546666666666,273.30733333333336
2023-06-01,Energy,282.201,-15.226951845955107,277.59633333333335,275.0725
2023-07-01,Energy,281.355,-13.218284445266947,279.40933333333334,275.9563333333333
2023-08-01,Energy,287.262,-4.6407871412352915,283.60600000000005,277.88033333333334
2023-09-01,Energy,285.9,-2.021597058249003,284.839,281.2176666666667
2023-10-01,Energy,283.169,-4.033280238587455,285.4436666666667,282.4265
2023-11-01,Energy,269.218,-5.062858150401118,279.42900000000003,281.5175
2023-12-01,Energy,262.378,-3.3989912006185397,271.5883333333333,278.2136666666667
2024-01-01,Energy,260.849,-5.507295726892048,264.1483333333333,274.796
2024-02-01,Energy,265.746,-3.6167388418601787,262.991,271.21
2024-03-01,Energy,276.662,4.0567783478012265,267.7523333333333,269.6703333333333
2024-04-01,Energy,279.846,1.4243465402513866,274.08466666666664,269.1165
2024-05-01,Energy,281.99,2.664268654977575,279.49933333333337,271.24516666666665
2024-06-01,Energy,286.605,1.5605897923820278,282.8136666666667,275.28299999999996
2024-07-01,Energy,282.851,0.5317126050718768,283.81533333333334,278.95
2024-08-01,Energy,279.402,-2.736178123107136,282.95266666666663,281.22600000000006
2024-09-01,Energy,272.398,-4.7226302903112805,278.21700000000004,280.51533333333333
